CSE/s1,EEE/s1,ECE/s1,MEE/s1,RAE/s1
23ECE101,23ENG101,23ECE101,23MAT121,23MAT126
23MAT124,23MAT122,23MAT124,23PHY108,24PHY104
23CCE101,23EEE101,23ECE102,23PHY188,23CSE116
23CCE102,23MEE102,23ECE103,23MEE101,23EEE105
23PHY110,23PHY105,23ECE104,,23ENG101
23CCE103,23CHY188,23ECE105,,23ENV300
23CCE181,,23ECE181,,
23CCE182,,23ECE182,,
22ADM101,22ADM101,22ADM101,22ADM101,22ADM101
22AVP103,22AVP103,22AVP103,22AVP103,22AVP103
